Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,SAR
2022-09-28,ZUARI,EQ,162.75,161.9,163.55,158.4,159.85,160.15,161.18,70352,1133952715000.0,2267,30188,0.4291,
2022-09-29,ZUARI,EQ,160.15,161.85,172.0,161.05,167.6,168.6,167.83,347032,5824098950000.0,8005,142998,0.4121,158.4
2022-09-30,ZUARI,EQ,168.6,168.6,178.25,166.15,175.1,175.15,174.3,457551,7975283640000.001,8612,250357,0.5472,158.672
2022-10-03,ZUARI,EQ,175.15,175.5,178.7,168.35,171.0,170.05,174.83,168487,2945661990000.0,3481,70976,0.4213,159.45512
2022-10-04,ZUARI,EQ,170.05,172.2,175.55,170.75,172.4,172.45,172.95,142229,2459897140000.0,2767,85203,0.5991,160.6098128
2022-10-06,ZUARI,EQ,172.45,173.85,178.0,172.85,174.65,175.45,175.02,99872,1747936030000.0,2251,49317,0.4938,161.695224032
2022-10-07,ZUARI,EQ,175.45,174.9,185.5,170.55,182.7,182.4,182.07,628863,11449760060000.0,7997,328404,0.5222,162.71551059008
2022-10-10,ZUARI,EQ,182.4,181.0,190.75,179.75,186.0,186.55,186.82,599147,11193075845000.0,7211,361338,0.6031000000000001,164.53826974287358
2022-10-11,ZUARI,EQ,186.55,186.8,189.7,178.0,180.05,180.55,184.35,301232,5553142400000.0,4092,190832,0.6335000000000001,167.15944276858622
2022-10-12,ZUARI,EQ,180.55,181.9,184.0,175.8,177.85,177.9,178.86,120262,2150977510000.0002,2806,64949,0.5401,169.5184984917276
2022-10-13,ZUARI,EQ,177.9,178.4,188.9,175.5,186.3,187.0,183.81,256519,4715132675000.0,4693,130697,0.5095000000000001,171.64164864255483
2022-10-14,ZUARI,EQ,187.0,190.0,191.3,182.6,182.8,183.1,185.85,159533,2964983475000.0,3658,94350,0.5914,173.55248377829935
2022-10-17,ZUARI,EQ,183.1,182.5,193.0,179.95,184.65,185.05,186.84,428497,8005877190000.001,7912,227332,0.5305,175.5
2022-10-18,ZUARI,EQ,185.05,185.4,186.1,180.5,183.0,183.1,182.77,202280,3697085160000.0,5938,106971,0.5288,177.95
2022-10-19,ZUARI,EQ,183.1,182.5,188.9,180.1,187.2,185.65,183.87,274811,5053014845000.0,6283,140887,0.5127,179.95
2022-10-20,ZUARI,EQ,185.65,182.35,188.9,182.35,186.05,187.3,185.83,201088,3736721829999.9995,3829,130847,0.6507,180.1
2022-10-21,ZUARI,EQ,187.3,182.1,191.35,182.1,186.0,185.65,186.99,162413,3036921655000.0,4228,88273,0.5826,180.1
2022-10-24,ZUARI,EQ,185.65,186.95,188.4,184.05,184.05,185.25,185.89,57985,1077861965000.0,1464,40787,0.7034,181.906
2022-10-25,ZUARI,EQ,185.25,184.5,197.65,183.75,192.0,191.8,191.65,641448,12293067200000.0,11954,343696,0.5357999999999999,182.1
2022-10-27,ZUARI,EQ,191.8,193.6,196.55,191.45,194.7,194.5,193.61,310691,6015292315000.0,4451,173659,0.5589000000000001,183.75
2022-10-28,ZUARI,EQ,194.5,196.0,197.0,185.8,188.25,190.35,190.45,444704,8469582005000.0,5895,197824,0.6111,183.75
2022-10-31,ZUARI,EQ,190.35,188.0,190.4,179.1,179.5,180.55,183.59,415447,7627222325000.0,6046,290440,0.6990999999999999,197.65
2022-11-01,ZUARI,EQ,180.55,182.0,183.25,172.15,174.0,173.45,175.71,354205,6223898020000.0,5803,217258,0.6134000000000001,197.279
2022-11-02,ZUARI,EQ,173.45,174.0,178.75,172.0,173.5,172.6,174.87,125872,2201088125000.0,2963,64548,0.5128,196.27384
2022-11-03,ZUARI,EQ,172.6,171.0,173.7,169.6,172.0,170.95,171.97,123440,2122803500000.0,2919,63735,0.5163,194.81740960000002
2022-11-04,ZUARI,EQ,170.95,172.65,173.9,170.4,173.0,172.7,172.26,101177,1742875395000.0,2272,54419,0.5379,192.800016832
2022-11-07,ZUARI,EQ,172.7,165.2,165.3,158.0,160.25,160.3,161.48,411887,6651148785000.0,7075,224458,0.545,190.94401548544002
2022-11-09,ZUARI,EQ,160.3,162.35,164.5,158.3,161.25,161.15,161.41,152887,2467705010000.0,5392,67827,0.4436,187.649613936896
2022-11-10,ZUARI,EQ,161.15,162.4,162.4,153.05,159.0,158.55,157.04,197486,3101243750000.0,5305,74637,0.3779,184.6846525432064
2022-11-11,ZUARI,EQ,158.55,160.9,161.0,157.6,159.1,159.15,158.98,82471,1311137685000.0,3084,36480,0.44229999999999997,180.88849423802162
2022-11-14,ZUARI,EQ,159.15,158.05,160.5,156.4,156.45,157.05,157.98,46156,729160920000.0,1474,22347,0.4842,177.54787492945903
2022-11-15,ZUARI,EQ,157.05,155.8,161.75,155.75,160.0,159.45,157.52,77517,1221075700000.0,2004,34211,0.4413,174.60812993792393
2022-11-16,ZUARI,EQ,159.45,160.0,166.3,159.95,160.3,161.65,163.31,118925,1942174805000.0,3350,54794,0.5161,172.02115434537308
2022-11-17,ZUARI,EQ,161.65,162.85,162.85,154.8,156.0,155.65,157.42,71620,1127441945000.0,2527,39814,0.5559000000000001,169.7446158239283
2022-11-18,ZUARI,EQ,155.65,155.65,157.5,155.0,156.15,155.85,156.16,35026,546964434999.99994,1414,20894,0.5965,167.7412619250569
2022-11-21,ZUARI,EQ,155.85,156.85,157.35,152.2,152.2,154.3,154.14,78746,1213768095000.0,2388,38571,0.48979999999999996,165.97831049405008
2022-11-22,ZUARI,EQ,154.3,154.6,155.65,152.4,152.4,152.65,153.57,43525,668425055000.0,1477,23892,0.5489,164.04934702488308
2022-11-23,ZUARI,EQ,152.65,153.0,163.6,153.0,160.65,161.05,159.88,289307,4625571580000.0,7560,100387,0.34700000000000003,152.2
2022-11-24,ZUARI,EQ,161.05,161.05,162.95,155.3,156.8,157.7,160.16,112351,1799402100000.0,3742,42572,0.3789,152.4
2022-11-25,ZUARI,EQ,157.7,157.0,161.75,156.6,157.0,157.25,159.01,64813,1030575215000.0,2152,27883,0.4302,152.624
2022-11-28,ZUARI,EQ,157.25,157.55,162.2,157.55,158.35,158.7,159.68,92978,1484664880000.0,2803,43844,0.47159999999999996,152.84351999999998
2022-11-29,ZUARI,EQ,158.7,158.8,164.5,156.4,160.3,160.1,160.94,118571,1908301455000.0,3477,49894,0.4208,153.0586496
2022-11-30,ZUARI,EQ,160.1,160.6,160.9,156.8,158.25,158.0,158.07,60003,948460394999.9999,1974,31385,0.5231,153.516303616
2022-12-01,ZUARI,EQ,158.0,159.0,160.25,157.4,158.0,157.75,158.48,49033,777097925000.0,1523,24523,0.5001,153.95565147136
2022-12-02,ZUARI,EQ,157.75,158.95,163.0,157.55,160.45,161.15,160.89,104840,1686788295000.0,2895,48883,0.46630000000000005,154.3774254125056
2022-12-05,ZUARI,EQ,161.15,162.75,172.45,161.2,167.05,167.45,167.27,305660,5112879415000.0,7335,171628,0.5615,154.78232839600537
2022-12-06,ZUARI,EQ,167.45,168.1,171.75,165.2,166.0,166.2,167.63,133989,2246044975000.0,3748,60866,0.4543,155.84238869224504
2022-12-07,ZUARI,EQ,166.2,163.6,170.9,163.6,168.0,167.6,168.05,97696,1641800210000.0,3352,42148,0.4314,156.83884537071035
2022-12-08,ZUARI,EQ,167.6,168.0,170.55,166.6,167.05,167.2,168.85,73197,1235963125000.0,2756,35630,0.4868,157.77551464846772
2022-12-09,ZUARI,EQ,167.2,167.25,169.15,161.1,163.8,163.35,164.91,83047,1369528345000.0,2624,48665,0.5860000000000001,158.65598376955967
2022-12-12,ZUARI,EQ,163.35,163.35,164.95,159.0,161.0,160.85,161.63,70755,1143639180000.0,2102,37198,0.5257000000000001,172.45
2022-12-13,ZUARI,EQ,160.85,162.45,164.45,160.4,161.4,161.05,162.29,49887,809620150000.0,1807,21131,0.4236,172.18099999999998
2022-12-14,ZUARI,EQ,161.05,161.95,165.8,161.4,162.55,163.15,163.68,70297,1150605225000.0,1930,38206,0.5435,171.91737999999998
2022-12-15,ZUARI,EQ,163.15,164.45,172.5,162.75,168.5,167.9,169.02,396138,6695375200000.0,8316,104803,0.2646,159.0
2022-12-16,ZUARI,EQ,167.9,166.85,173.8,163.45,164.0,164.6,169.14,261644,4425438365000.0,7442,84656,0.3236,159.27
2022-12-19,ZUARI,EQ,164.6,165.7,166.35,160.05,161.25,160.8,162.22,90862,1473988205000.0,2915,41367,0.45530000000000004,159.8512
2022-12-20,ZUARI,EQ,160.8,161.55,169.9,159.2,166.4,166.35,165.54,162056,2682754530000.0,5757,54321,0.33520000000000005,173.8
2022-12-21,ZUARI,EQ,166.35,166.4,168.9,154.4,155.7,155.75,159.73,163417,2610178990000.0,4794,82644,0.5057,173.508
2022-12-22,ZUARI,EQ,155.75,157.3,158.35,149.4,151.25,151.75,152.48,93663,1428135320000.0,3131,46591,0.4974,172.74368
2022-12-23,ZUARI,EQ,151.75,150.0,151.15,140.4,140.5,141.65,145.53,122716,1785923485000.0002,3654,66652,0.5431,171.3430592
2022-12-26,ZUARI,EQ,141.65,140.0,149.7,138.95,148.35,149.0,146.33,86081,1259640375000.0,2914,41148,0.478,168.867614464
2022-12-27,ZUARI,EQ,149.0,149.1,154.0,148.55,152.2,153.1,151.92,68739,1044285519999.9999,2289,20074,0.292,165.8758530176
